id,topic1_id,topic1_score,topic2_id,topic2_score,topic3_id,topic3_score,topic4_id,topic4_score,topic5_id,topic5_score,topic6_id,topic6_score,topic7_id,topic7_score,topic8_id,topic8_score,topic9_id,topic9_score,topic10_id,topic10_score
i260ff82302,10335,0.516180157661438,10418,0.05464199557900429,12769,0.02251478284597397,10552,0.0191914364695549,13110,0.01395291555672884,13569,0.008763107471168041,12020,0.008533794432878494,12664,0.008053005672991276,11369,0.0072380248457193375,11865,0.00667450251057744
if21e786245,10290,0.5972357392311096,10745,0.1882094293832779,10673,0.019210783764719963,12715,0.009232095442712307,11184,0.008857665583491325,10924,0.0072096046060323715,13769,0.005717954598367214,13533,0.005374560132622719,11721,0.005300737917423248,13434,0.004844665993005037
if3825e4994,13934,0.5726392865180969,11862,0.09258382022380829,10319,0.04244863986968994,12896,0.029482750222086906,10367,0.02594556286931038,13396,0.01900012604892254,10889,0.01357719860970974,13838,0.007551924791187048,14472,0.007380640599876642,10439,0.007048498839139938
i3b5c609055,12475,0.9964228272438049,10135,0.0007651281775906682,12436,0.00024790706811472774,12093,0.00020969791512470692,10439,0.00014556190581060946,12813,7.836563599994406e-05,14391,7.753785757813603e-05,10774,6.162562203826383e-05,10487,5.6507502449676394e-05,11760,4.7459459892706946e-05
i48e0d9c170,10727,0.446926474571228,10924,0.1808403581380844,10193,0.10653862357139587,10816,0.05614662542939186,10821,0.04369235038757324,11778,0.012572157196700573,11366,0.010851279832422733,14353,0.009864941239356995,10926,0.005907699931412935,10422,0.005042953882366419
i886bedb826,10598,0.6669323444366455,13434,0.008630748838186264,10217,0.0067419628612697124,11217,0.005856772884726524,11021,0.005831114016473293,10863,0.00580251170322299,12207,0.005065797362476587,14093,0.004887382034212351,14065,0.004135577008128166,11620,0.004088209010660648
ie6af519302,10146,0.8643888235092163,10428,0.015716256573796272,13544,0.005561016499996185,10981,0.004600099287927151,10668,0.0036665014922618866,10307,0.0035768309608101845,14065,0.003118004882708192,13309,0.0021135015413165092,14072,0.0017137420363724232,11290,0.0016971757868304849
i570ac9a757,11842,0.9525863528251648,10958,0.009703809395432472,11255,0.007005594205111265,12274,0.0014015845954418182,12270,0.0010753825772553682,11202,0.0010262943105772138,12163,0.0009802667191252112,10822,0.0008535602246411145,11401,0.0007967145647853613,12565,0.0006835792446509004
i62fc85ff05,13301,0.8394767045974731,11391,0.014378795400261879,13245,0.01110091432929039,12397,0.010774961672723293,13666,0.00621973630040884,14148,0.005079626105725765,12966,0.004015977960079908,13264,0.0030433752108365297,13351,0.002654989482834935,14366,0.002637819852679968
i271e131525,11507,0.18050113320350647,13336,0.175238236784935,13150,0.04109472036361694,10718,0.03097950667142868,12616,0.02554226666688919,14441,0.025351500138640404,14142,0.017914077267050743,13445,0.016150901094079018,13784,0.015707332640886307,14063,0.01369419600814581
ifdf28cedd9,10991,0.23904839158058167,10646,0.05890783295035362,10108,0.053336773067712784,13825,0.039410971105098724,11031,0.037857986986637115,13387,0.032131560146808624,10785,0.023815061897039413,11042,0.021043572574853897,13357,0.020473653450608253,10070,0.01638685166835785
if11a1793d3,10027,0.14319385588169098,12975,0.13255245983600616,10261,0.12492116540670395,13984,0.03653155267238617,11072,0.02460077963769436,11001,0.023591063916683197,13426,0.020325949415564537,12187,0.01979750581085682,10445,0.018276361748576164,12688,0.017690658569335938
i9eb27afa24,10732,0.7487964630126953,12760,0.10111644864082336,10834,0.010378197766840458,13965,0.00904069747775793,14128,0.007640932220965624,14158,0.005767629016190767,11127,0.005600085947662592,13869,0.004498615860939026,13493,0.004198172595351934,12959,0.003089212579652667
ie7c15ebee5,10832,0.8696917295455933,10748,0.03551837429404259,12421,0.013566868379712105,11967,0.007494401186704636,10529,0.00605317996814847,10960,0.005485782865434885,12604,0.0047434489242732525,10754,0.00295349326916039,11521,0.002257905900478363,11839,0.0020162404980510473
i44b570567e,10639,0.37355679273605347,12127,0.1271475851535797,10933,0.09308572113513947,12203,0.0715813860297203,10772,0.06655938178300858,10715,0.05183106288313866,10679,0.04748634621500969,12490,0.03934077173471451,10126,0.01433410495519638,10101,0.012756424024701118
i2d20a7475b,12509,0.44116663932800293,14102,0.10060152411460876,13408,0.03386978432536125,10019,0.032246798276901245,14373,0.02221224270761013,13972,0.018196500837802887,12675,0.015609838999807835,12185,0.012216576375067234,14362,0.009813673794269562,13074,0.00738968700170517
i1d18dc8476,10418,0.5637094974517822,10279,0.22857891023159027,12237,0.02559524215757847,13206,0.018728021532297134,10365,0.014515544287860394,11174,0.012900779955089092,13289,0.00963757373392582,11815,0.008315515704452991,14106,0.00441028643399477,12712,0.0030500169377774
ie4f88c2ccb,10744,0.7799313068389893,12917,0.04710383713245392,10818,0.015936246141791344,13126,0.015642937272787094,11323,0.012504936195909977,10026,0.01209607720375061,13884,0.011064578779041767,13811,0.010489578358829021,11960,0.006193005479872227,12836,0.006108710542321205
i95ab010489,10026,0.35902634263038635,12917,0.12728570401668549,14311,0.07209214568138123,13126,0.05844205245375633,12450,0.052484430372714996,10095,0.020779117941856384,13884,0.018743835389614105,14111,0.018384110182523727,13436,0.013082634657621384,14455,0.011536261066794395
i01ccc10ca1,11396,0.09721560776233673,10027,0.08695331960916519,13434,0.06357868015766144,14065,0.037951551377773285,12647,0.030697092413902283,13533,0.02322518453001976,13522,0.022483138367533684,10528,0.02064001001417637,10821,0.015005184337496758,14135,0.0129783283919096
ib9bfe8ef77,14101,0.15565499663352966,13133,0.11965754628181458,13342,0.05693642422556877,12444,0.04210100322961807,12650,0.04060402885079384,14381,0.03405946493148804,12076,0.024731168523430824,12981,0.017959916964173317,11212,0.01722874864935875,14002,0.01572999358177185
